0_precision;0_recall;0_f1-score;0_support;1_precision;1_recall;1_f1-score;1_support;2_precision;2_recall;2_f1-score;2_support;3_precision;3_recall;3_f1-score;3_support;accuracy;macro_avg_precision;macro_avg_recall;macro_avg_f1-score;macro_avg_support;weighted_avg_precision;weighted_avg_recall;weighted_avg_f1-score;weighted_avg_support;macro_f1;model;k;C;class_weight;n_estimators;max_depth;min_samples_leaf;learning_rate;num_features_removed;features_removed;num_classes;subsample;colsample_bytree;task
0.68018018;0.526132404;0.593320236;287;0.723287671;0.863685932;0.787276342;917;0.598101266;0.581538462;0.589703588;325;0.622754491;0.383763838;0.474885845;271;0.686666667;0.656080902;0.588780159;0.611296503;1800;0.678675491;0.686666667;0.673646135;1800;0.611296503;XGBoost;;;;200;7;;0.05;;;4;1;1;multiclass
0.656521739;0.526132404;0.584139265;287;0.731864096;0.869138495;0.794616152;917;0.610561056;0.569230769;0.589171975;325;0.601123596;0.394833948;0.476614699;271;0.688888889;0.650017622;0.589833904;0.611135523;1800;0.678265529;0.688888889;0.676085808;1800;0.611135523;XGBoost;;;;300;8;;0.05;;;4;0.8;1;multiclass
0.660792952;0.522648084;0.583657588;287;0.728703704;0.85823337;0.788182273;917;0.60130719;0.566153846;0.583201268;325;0.598930481;0.413284133;0.489082969;271;0.685;0.647433582;0.590079858;0.611031025;1800;0.675335484;0.685;0.673530427;1800;0.611031025;XGBoost;;;;400;8;;0.05;;;4;1;1;multiclass
0.666666667;0.508710801;0.577075099;287;0.719437115;0.892039258;0.796494645;917;0.641114983;0.566153846;0.60130719;325;0.636942675;0.36900369;0.46728972;271;0.693333333;0.66604036;0.583976899;0.610541663;1800;0.684461668;0.693333333;0.676703607;1800;0.610541663;XGBoost;;;;200;8;;0.01;;;4;0.8;1;multiclass
0.655172414;0.529616725;0.585741811;287;0.734012975;0.863685932;0.793587174;917;0.594855305;0.569230769;0.581761006;325;0.606741573;0.398523985;0.481069042;271;0.687222222;0.647695567;0.590264353;0.610539759;1800;0.677155179;0.687222222;0.675149653;1800;0.610539759;XGBoost;;;;600;8;;0.05;;;4;0.6;1;multiclass
0.655172414;0.529616725;0.585741811;287;0.734375;0.87131952;0.797007481;917;0.607260726;0.566153846;0.585987261;325;0.598870056;0.391143911;0.473214286;271;0.689444444;0.648919549;0.589558501;0.61048771;1800;0.678394377;0.689444444;0.676472606;1800;0.61048771;XGBoost;;;;200;8;;0.05;;;4;0.8;1;multiclass
0.643776824;0.522648084;0.576923077;287;0.735185185;0.865866957;0.795192789;917;0.604575163;0.569230769;0.58637084;325;0.602209945;0.402214022;0.482300885;271;0.687777778;0.646436779;0.589989958;0.610196898;1800;0.677008104;0.687777778;0.675579319;1800;0.610196898;XGBoost;;;;400;8;;0.05;;;4;0.6;1;multiclass
0.665178571;0.519163763;0.583170254;287;0.733394834;0.86695747;0.794602699;917;0.609836066;0.572307692;0.59047619;325;0.577540107;0.398523985;0.471615721;271;0.687777778;0.646487394;0.589238228;0.609966216;1800;0.676744113;0.687777778;0.675407311;1800;0.609966216;XGBoost;;;;400;8;;0.05;;;4;0.8;1;multiclass
0.645454545;0.494773519;0.560157791;287;0.721518987;0.870229008;0.788927336;917;0.623762376;0.581538462;0.601910828;325;0.631578947;0.398523985;0.488687783;271;0.687222222;0.655578714;0.586266243;0.609920934;1800;0.678199463;0.687222222;0.673481701;1800;0.609920934;XGBoost;;;;600;8;;0.01;;;4;1;1;multiclass
0.639004149;0.536585366;0.583333333;287;0.73565381;0.852780807;0.78989899;917;0.594155844;0.563076923;0.578199052;325;0.595744681;0.413284133;0.488017429;271;0.683888889;0.641139621;0.591431807;0.609862201;1800;0.673631218;0.683888889;0.673289698;1800;0.609862201;XGBoost;;;;500;7;;0.1;;;4;0.8;1;multiclass
